transition,ensemble_size,split_id,overlap
socialist_to_contemporary,3,121,0.57
socialist_to_contemporary,3,122,0.57
socialist_to_contemporary,3,123,0.66
socialist_to_contemporary,3,124,0.56
socialist_to_contemporary,3,125,0.58
socialist_to_contemporary,3,126,0.64
socialist_to_contemporary,3,127,0.62
socialist_to_contemporary,3,128,0.58
socialist_to_contemporary,3,129,0.6
socialist_to_contemporary,3,130,0.59
socialist_to_contemporary,3,131,0.61
socialist_to_contemporary,3,132,0.62
socialist_to_contemporary,3,133,0.61
socialist_to_contemporary,3,134,0.57
socialist_to_contemporary,3,135,0.63
socialist_to_contemporary,3,136,0.62
socialist_to_contemporary,3,137,0.63
socialist_to_contemporary,3,138,0.6
socialist_to_contemporary,3,139,0.55
socialist_to_contemporary,3,140,0.63
socialist_to_contemporary,3,141,0.63
socialist_to_contemporary,3,142,0.57
socialist_to_contemporary,3,143,0.5
socialist_to_contemporary,3,144,0.53
socialist_to_contemporary,3,145,0.63
socialist_to_contemporary,3,146,0.62
socialist_to_contemporary,3,147,0.6
socialist_to_contemporary,3,148,0.6
socialist_to_contemporary,3,149,0.59
socialist_to_contemporary,3,150,0.64
socialist_to_contemporary,3,151,0.62
socialist_to_contemporary,3,152,0.64
socialist_to_contemporary,3,153,0.59
socialist_to_contemporary,3,154,0.65
socialist_to_contemporary,3,155,0.58
socialist_to_contemporary,3,156,0.55
socialist_to_contemporary,3,157,0.65
socialist_to_contemporary,3,158,0.54
socialist_to_contemporary,3,159,0.62
socialist_to_contemporary,3,160,0.55
socialist_to_contemporary,3,161,0.61
socialist_to_contemporary,3,162,0.53
socialist_to_contemporary,3,163,0.56
socialist_to_contemporary,3,164,0.58
socialist_to_contemporary,3,165,0.65
socialist_to_contemporary,3,166,0.62
socialist_to_contemporary,3,167,0.58
socialist_to_contemporary,3,168,0.6
socialist_to_contemporary,3,169,0.57
socialist_to_contemporary,3,170,0.62
socialist_to_contemporary,3,171,0.64
socialist_to_contemporary,3,172,0.6
socialist_to_contemporary,3,173,0.6
socialist_to_contemporary,3,174,0.63
socialist_to_contemporary,3,175,0.59
socialist_to_contemporary,3,176,0.59
socialist_to_contemporary,3,177,0.61
socialist_to_contemporary,3,178,0.57
socialist_to_contemporary,3,179,0.61
socialist_to_contemporary,3,180,0.6
socialist_to_contemporary,3,181,0.6
socialist_to_contemporary,3,182,0.62
socialist_to_contemporary,3,183,0.61
socialist_to_contemporary,3,184,0.59
socialist_to_contemporary,3,185,0.63
socialist_to_contemporary,3,186,0.62
socialist_to_contemporary,3,187,0.66
socialist_to_contemporary,3,188,0.57
socialist_to_contemporary,3,189,0.61
socialist_to_contemporary,3,190,0.58
socialist_to_contemporary,3,191,0.62
socialist_to_contemporary,3,192,0.55
socialist_to_contemporary,3,193,0.59
socialist_to_contemporary,3,194,0.59
socialist_to_contemporary,3,195,0.5
socialist_to_contemporary,3,196,0.57
socialist_to_contemporary,3,197,0.58
socialist_to_contemporary,3,198,0.58
socialist_to_contemporary,3,199,0.63
socialist_to_contemporary,3,200,0.63
mingqing_to_late_qing,5,1,0.71
mingqing_to_late_qing,5,2,0.71
mingqing_to_late_qing,5,3,0.73
mingqing_to_late_qing,5,4,0.8
mingqing_to_late_qing,5,5,0.78
mingqing_to_late_qing,5,6,0.75
mingqing_to_late_qing,5,7,0.75
mingqing_to_late_qing,5,8,0.83
mingqing_to_late_qing,5,9,0.73
mingqing_to_late_qing,5,10,0.72
mingqing_to_late_qing,5,11,0.77
mingqing_to_late_qing,5,12,0.74
mingqing_to_late_qing,5,13,0.72
mingqing_to_late_qing,5,14,0.73
mingqing_to_late_qing,5,15,0.78
mingqing_to_late_qing,5,16,0.75
mingqing_to_late_qing,5,17,0.76
mingqing_to_late_qing,5,18,0.76
mingqing_to_late_qing,5,19,0.76
mingqing_to_late_qing,5,20,0.74
mingqing_to_late_qing,5,21,0.72
mingqing_to_late_qing,5,22,0.72
mingqing_to_late_qing,5,23,0.78
mingqing_to_late_qing,5,24,0.75
mingqing_to_late_qing,5,25,0.78
mingqing_to_late_qing,5,26,0.75
mingqing_to_late_qing,5,27,0.77
mingqing_to_late_qing,5,28,0.74
mingqing_to_late_qing,5,29,0.74
mingqing_to_late_qing,5,30,0.71
mingqing_to_late_qing,5,31,0.74
mingqing_to_late_qing,5,32,0.73
mingqing_to_late_qing,5,33,0.73
mingqing_to_late_qing,5,34,0.77
mingqing_to_late_qing,5,35,0.74
mingqing_to_late_qing,5,36,0.74
mingqing_to_late_qing,5,37,0.68
mingqing_to_late_qing,5,38,0.78
mingqing_to_late_qing,5,39,0.72
mingqing_to_late_qing,5,40,0.74
mingqing_to_late_qing,5,41,0.74
mingqing_to_late_qing,5,42,0.76
mingqing_to_late_qing,5,43,0.71
mingqing_to_late_qing,5,44,0.69
mingqing_to_late_qing,5,45,0.74
mingqing_to_late_qing,5,46,0.73
mingqing_to_late_qing,5,47,0.74
mingqing_to_late_qing,5,48,0.72
mingqing_to_late_qing,5,49,0.75
mingqing_to_late_qing,5,50,0.79
mingqing_to_late_qing,5,51,0.79
mingqing_to_late_qing,5,52,0.81
mingqing_to_late_qing,5,53,0.71
mingqing_to_late_qing,5,54,0.78
mingqing_to_late_qing,5,55,0.77
mingqing_to_late_qing,5,56,0.76
mingqing_to_late_qing,5,57,0.76
mingqing_to_late_qing,5,58,0.78
mingqing_to_late_qing,5,59,0.76
mingqing_to_late_qing,5,60,0.78
mingqing_to_late_qing,5,61,0.77
mingqing_to_late_qing,5,62,0.72
mingqing_to_late_qing,5,63,0.78
mingqing_to_late_qing,5,64,0.76
mingqing_to_late_qing,5,65,0.77
mingqing_to_late_qing,5,66,0.73
mingqing_to_late_qing,5,67,0.8
mingqing_to_late_qing,5,68,0.76
mingqing_to_late_qing,5,69,0.77
mingqing_to_late_qing,5,70,0.73
mingqing_to_late_qing,5,71,0.79
mingqing_to_late_qing,5,72,0.74
mingqing_to_late_qing,5,73,0.79
mingqing_to_late_qing,5,74,0.77
mingqing_to_late_qing,5,75,0.72
mingqing_to_late_qing,5,76,0.78
mingqing_to_late_qing,5,77,0.76
mingqing_to_late_qing,5,78,0.75
mingqing_to_late_qing,5,79,0.77
mingqing_to_late_qing,5,80,0.67
mingqing_to_late_qing,5,81,0.74
mingqing_to_late_qing,5,82,0.76
mingqing_to_late_qing,5,83,0.74
mingqing_to_late_qing,5,84,0.75
mingqing_to_late_qing,5,85,0.78
mingqing_to_late_qing,5,86,0.7
mingqing_to_late_qing,5,87,0.78
mingqing_to_late_qing,5,88,0.72
mingqing_to_late_qing,5,89,0.79
mingqing_to_late_qing,5,90,0.76
mingqing_to_late_qing,5,91,0.78
mingqing_to_late_qing,5,92,0.74
mingqing_to_late_qing,5,93,0.77
mingqing_to_late_qing,5,94,0.73
mingqing_to_late_qing,5,95,0.7
mingqing_to_late_qing,5,96,0.75
mingqing_to_late_qing,5,97,0.76
mingqing_to_late_qing,5,98,0.78
mingqing_to_late_qing,5,99,0.72
mingqing_to_late_qing,5,100,0.73
mingqing_to_late_qing,5,101,0.74
mingqing_to_late_qing,5,102,0.73
mingqing_to_late_qing,5,103,0.77
mingqing_to_late_qing,5,104,0.73
mingqing_to_late_qing,5,105,0.75
mingqing_to_late_qing,5,106,0.71
mingqing_to_late_qing,5,107,0.73
mingqing_to_late_qing,5,108,0.75
mingqing_to_late_qing,5,109,0.72
mingqing_to_late_qing,5,110,0.76
mingqing_to_late_qing,5,111,0.7
mingqing_to_late_qing,5,112,0.69
mingqing_to_late_qing,5,113,0.78
mingqing_to_late_qing,5,114,0.72
mingqing_to_late_qing,5,115,0.69
mingqing_to_late_qing,5,116,0.78
mingqing_to_late_qing,5,117,0.76
mingqing_to_late_qing,5,118,0.71
mingqing_to_late_qing,5,119,0.78
mingqing_to_late_qing,5,120,0.77
mingqing_to_late_qing,5,121,0.74
mingqing_to_late_qing,5,122,0.75
mingqing_to_late_qing,5,123,0.74
mingqing_to_late_qing,5,124,0.72
mingqing_to_late_qing,5,125,0.71
mingqing_to_late_qing,5,126,0.75
mingqing_to_late_qing,5,127,0.77
mingqing_to_late_qing,5,128,0.78
mingqing_to_late_qing,5,129,0.71
mingqing_to_late_qing,5,130,0.75
mingqing_to_late_qing,5,131,0.75
mingqing_to_late_qing,5,132,0.83
mingqing_to_late_qing,5,133,0.75
mingqing_to_late_qing,5,134,0.74
mingqing_to_late_qing,5,135,0.77
mingqing_to_late_qing,5,136,0.72
mingqing_to_late_qing,5,137,0.7
mingqing_to_late_qing,5,138,0.83
mingqing_to_late_qing,5,139,0.77
mingqing_to_late_qing,5,140,0.75
mingqing_to_late_qing,5,141,0.75
mingqing_to_late_qing,5,142,0.78
mingqing_to_late_qing,5,143,0.72
mingqing_to_late_qing,5,144,0.74
mingqing_to_late_qing,5,145,0.73
mingqing_to_late_qing,5,146,0.73
mingqing_to_late_qing,5,147,0.79
mingqing_to_late_qing,5,148,0.79
mingqing_to_late_qing,5,149,0.76
mingqing_to_late_qing,5,150,0.71
mingqing_to_late_qing,5,151,0.75
mingqing_to_late_qing,5,152,0.73
mingqing_to_late_qing,5,153,0.73
mingqing_to_late_qing,5,154,0.72
mingqing_to_late_qing,5,155,0.77
mingqing_to_late_qing,5,156,0.75
mingqing_to_late_qing,5,157,0.72
mingqing_to_late_qing,5,158,0.73
mingqing_to_late_qing,5,159,0.76
mingqing_to_late_qing,5,160,0.74
