word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
发紧,0.063461,0.035762,-0.006176,0.122391,100,1.774536,7,27,2,11,0.001357,0.128713
阴霾,0.063447,0.034732,-0.009422,0.125646,100,1.826779,7,36,0,6,0.008212,0.207921
可笑,0.063420,0.034446,-0.001197,0.130556,100,1.841143,110,213,4,6,0.002374,0.158416
已是,0.063401,0.038869,-0.008467,0.137240,100,1.631147,193,513,3,10,-0.008141,0.108911
滚烫,0.063337,0.038937,-0.013545,0.138735,100,1.626664,21,109,2,7,0.003393,0.188119
痛楚,0.063252,0.039998,-0.012762,0.139031,100,1.581369,66,80,13,19,0.007019,0.168317
一瞬间,0.063184,0.037814,-0.002755,0.131530,100,1.670901,80,206,8,18,-0.004030,0.148515
而已,0.063119,0.037133,-0.006948,0.137165,100,1.699836,86,431,1,6,0.004271,0.198020
人间,0.063035,0.037055,-0.010719,0.136447,100,1.701123,102,263,1,6,0.003020,0.118812
它们,0.062968,0.038816,-0.018653,0.130020,100,1.622202,464,2211,4,32,0.001540,0.148515
由衷,0.062746,0.042140,-0.020495,0.139762,100,1.489002,26,122,1,9,0.002219,0.168317
一种,0.062740,0.040153,-0.017797,0.139188,100,1.562521,2715,5024,220,286,0.006160,0.188119
微妙,0.062702,0.042117,-0.019998,0.131887,100,1.488765,38,86,5,9,0.006891,0.198020
还都,0.062567,0.036680,-0.004813,0.124952,100,1.705737,49,126,0,5,-0.004424,0.138614
便会,0.062499,0.040159,-0.005821,0.131414,100,1.556280,65,102,1,6,-0.004142,0.118812
根本,0.062456,0.041451,-0.021021,0.142446,100,1.506759,1008,1844,28,48,0.008754,0.188119
了然,0.062317,0.035672,-0.009813,0.123124,100,1.746959,8,36,0,6,-0.006067,0.089109
每每,0.061981,0.043553,-0.031773,0.134303,100,1.423093,13,87,0,7,-0.000369,0.168317
从此,0.061917,0.040292,-0.007359,0.139623,100,1.536693,356,540,5,22,-0.003174,0.108911
惊骇,0.061906,0.040332,-0.013938,0.131646,100,1.534914,33,45,1,5,-0.000147,0.148515
长久,0.061773,0.040128,-0.010532,0.136986,100,1.539391,132,202,8,8,-0.002828,0.128713
但愿,0.061699,0.039082,-0.001477,0.161288,100,1.578697,34,115,0,5,0.001760,0.108911
不解,0.061648,0.037316,0.000513,0.129546,100,1.652044,139,134,2,5,0.004143,0.188119
犹如,0.061636,0.038081,-0.015433,0.138086,100,1.618523,39,233,1,11,-0.005525,0.148515
消散,0.061618,0.039659,-0.018201,0.140721,100,1.553680,64,56,4,8,0.009350,0.158416
诗人,0.061462,0.040692,-0.027987,0.140572,100,1.510417,30,206,0,5,0.004883,0.207921
赚钱,0.061423,0.042698,-0.018584,0.145192,100,1.438560,77,181,0,5,0.002143,0.188119
一通,0.061409,0.033391,-0.001768,0.114942,100,1.839053,113,224,4,10,0.003414,0.108911
