word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
衣裳,-0.062409,0.036952,-0.134362,0.013156,100,-1.688916,879,647,10,7,0.005850,0.841584
衣服,-0.062822,0.039518,-0.129351,0.018693,100,-1.589719,2302,2062,29,21,0.007425,0.851485
大喜,-0.064346,0.041330,-0.138128,0.011004,100,-1.556858,2210,1428,178,122,-0.001391,0.861386
暗思,-0.065126,0.039640,-0.138747,0.017216,100,-1.642938,48,97,10,5,0.001008,0.881188
无人,-0.066055,0.039886,-0.143969,0.005081,100,-1.656086,1382,1558,27,14,-0.002901,0.910891
外貌,-0.066823,0.041809,-0.155641,0.004442,100,-1.598285,19,31,1,7,0.005614,0.891089
丫头,-0.067225,0.038926,-0.133108,0.010565,100,-1.726987,1493,857,32,17,0.000517,0.851485
方知,-0.067786,0.039432,-0.148317,0.007469,100,-1.719043,633,468,15,8,0.002423,0.891089
好象,-0.067973,0.043690,-0.152450,0.003577,100,-1.555813,86,127,11,9,0.000453,0.851485
师父,-0.069000,0.039852,-0.153129,0.007237,100,-1.731421,2708,1145,36,13,0.000503,0.891089
好事,-0.069565,0.039337,-0.136793,0.016955,100,-1.768442,443,327,3,7,0.001957,0.861386
妈妈,-0.070058,0.041439,-0.156863,0.007908,100,-1.690631,1151,463,24,6,0.002579,0.900990
尖刀,-0.071377,0.040993,-0.144767,0.007498,100,-1.741182,109,66,3,5,0.014840,0.891089
娘娘,-0.072674,0.037967,-0.153383,-0.005900,100,-1.914135,1193,789,13,12,0.006278,0.871287
员外,-0.073113,0.041018,-0.147512,0.008631,100,-1.782487,2384,1051,43,7,0.005694,0.891089
李氏,-0.073240,0.035608,-0.131282,-0.010262,100,-2.056815,424,317,5,6,-0.000438,0.851485
夫人,-0.074181,0.036136,-0.139128,0.008464,100,-2.052834,5931,3478,95,32,-0.008689,0.831683
模样,-0.075779,0.041458,-0.146757,0.007609,100,-1.827858,954,428,22,7,-0.002539,0.920792
孩子,-0.079112,0.037285,-0.152434,-0.009358,100,-2.121793,1102,987,28,24,0.001792,0.900990
身子,-0.079549,0.039903,-0.157923,-0.009556,100,-1.993529,1105,752,29,18,0.004837,0.891089
书房,-0.079601,0.038944,-0.150885,-0.013379,100,-2.043982,1213,1105,15,19,0.003826,0.920792
疼痛,-0.080324,0.035701,-0.136010,-0.018046,100,-2.249913,284,168,23,6,-0.004511,0.841584
美貌,-0.080418,0.037774,-0.157057,-0.014571,100,-2.128918,303,186,11,7,0.004018,0.930693
孩儿,-0.087895,0.034548,-0.155566,-0.032128,100,-2.544143,1155,503,14,7,0.005448,0.970297
梦中,-0.088565,0.037603,-0.154893,-0.008653,100,-2.355299,513,240,15,8,-0.005789,0.940594
孝子,-0.088839,0.040166,-0.157847,-0.014392,100,-2.211811,266,188,3,5,-0.001023,0.960396
房内,-0.089408,0.040032,-0.171948,-0.018422,100,-2.233405,765,632,8,7,0.006707,0.920792
媒婆,-0.091945,0.034359,-0.150777,-0.032446,100,-2.675986,299,130,1,6,0.000888,0.910891
